#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
70,Nepal,"988,821",0,"11,969",0,"971,250",0,"5,602",0,"32,710",396,"5,828,708","192,811","30,230,211",Asia,31,"2,526",5,0,0,185
16,Netherlands,"8,347,295",0,"22,510",0,"8,188,138",0,"136,647",54,"484,915","1,308","21,107,399","1,226,180","17,213,950",Europe,2,765,1,0,0,"7,938"
139,New Caledonia,"70,937",0,314,0,"68,254",0,"2,369",9,"243,582","1,078","98,964","339,821","291,224",Australia/Oceania,4,927,3,0,0,"8,135"
50,New Zealand,"1,647,826","+5,492","2,338",+17,"1,603,836","+7,881","41,652",0,"329,427",467,"7,406,030","1,480,584","5,002,100",Australia/Oceania,3,"2,139",1,"1,098",3,"8,327"
179,Nicaragua,"18,491",0,225,0,"4,225",0,"14,041",0,"2,724",33,0,0,"6,788,992",North America,367,"30,173",0,0,0,"2,068"
198,Niger,"9,115",0,311,0,"8,628",0,176,1,350,12,"254,538","9,777","26,034,987",Africa,"2,856","83,714",102,0,0,7
106,Nigeria,"261,473",0,"3,147",0,"254,953",0,"3,373",11,"1,206",15,"5,441,162","25,098","216,799,566",Africa,829,"68,891",40,0,0,16
224,Niue,56,0,0,0,30,0,26,0,"33,960",0,0,0,"1,649",Australia/Oceania,29,0,0,0,0,"15,767"
0,North America,"111,262,002","+18,556","1,507,222",+122,"103,917,486","+18,211","5,837,294","10,029",0,0,0,0,0,North America,0,0,0,0,0,0
100,North Macedonia,"330,016",0,"9,387",0,"316,490",0,"4,139",0,"158,418","4,506","2,101,653","1,008,860","2,083,196",Europe,6,222,1,0,0,"1,987"
53,Norway,"1,456,672",0,"3,623",0,"1,449,807",0,"3,242",20,"264,384",658,"11,002,430","1,996,929","5,509,676",Europe,4,"1,521",1,0,0,588
0,Oceania,"11,582,093","+38,288","17,287",+100,"11,100,763","+7,888","464,043",195,0,0,0,0,0,Australia/Oceania,0,0,0,0,0,0
96,Oman,"395,737",0,"4,260",0,"384,669",0,"6,808",2,"73,590",792,"25,000,000","4,648,913","5,377,601",Asia,14,"1,262",0,0,0,"1,266"
52,Pakistan,"1,557,984",+750,"30,505",+2,"1,517,492",0,"9,987",164,"6,779",133,"29,651,107","129,007","229,841,331",Asia,148,"7,535",8,3,0.01,43
212,Palau,"5,308",0,6,0,"5,221",0,81,1,"290,467",328,"63,229","3,460,053","18,274",Australia/Oceania,3,"3,046",0,0,0,"4,433"
